alpha3,name,country_code,year,fb,pop,fb_share,refugee,disp,imm,disp_share
ISL,Iceland,352,2010,35091,320328,10.954708923353563,83,33103,35091,0.10334095052571114
ISL,Iceland,352,2015,39072,330243,11.831287869841299,340,39055,39072,0.11826140145286955
ISL,Iceland,352,2019,52404,339031,15.456993608254113,719,42188,52404,0.12443699838657822
IRL,Ireland,372,1990,227961,3510885,6.492978266163659,360,917286,227961,0.26126916717579757
IRL,Ireland,372,1995,226892,3592186,6.316265360423986,400,863749,226892,0.2404521926203153
IRL,Ireland,372,2000,350552,3783103,9.266255769404111,14610,820902,350552,0.21699171288754232
IRL,Ireland,372,2005,589046,4141223,14.223962341559485,9527,771302,589046,0.18624981074431393
IRL,Ireland,372,2010,730542,4554321,16.040634816913432,14236,730771,730542,0.1604566300882173
IRL,Ireland,372,2015,759256,4652425,16.319575275259673,11180,744546,759256,0.16003396078389226
IRL,Ireland,372,2019,833564,4882495,17.07250084229477,12314,816908,833564,0.16731363780198444
IMN,Isle of Man,833,1990,34769,70298,49.45944408091269,0,10735,34769,0.1527070471421662
IMN,Isle of Man,833,1995,36886,72131,51.13751369036891,0,9003,36886,0.12481457348435486
IMN,Isle of Man,833,2000,39002,76941,50.69078904615225,0,7377,39002,0.0958786602721566
IMN,Isle of Man,833,2005,41475,80305,51.64684639810721,0,8501,41475,0.10585891289458937
IMN,Isle of Man,833,2010,43447,84857,51.20025454588307,0,9030,43447,0.10641432056282923
IMN,Isle of Man,833,2015,42238,83234,50.74608933849149,0,11227,42238,0.13488478266093182
IMN,Isle of Man,833,2019,42864,84584,50.676250827579686,0,12809,42864,0.15143525962356946
LVA,Latvia,428,1990,646007,2664439,24.245516598428413,NA,215134,646007,0.08074270043337453
LVA,Latvia,428,1995,538093,2508480,21.450958349279244,4,229015,538093,0.09129632287281542
LVA,Latvia,428,2000,430178,2384164,18.043137972052257,7,238691,430178,0.10011517664053311
LVA,Latvia,428,2005,376725,2251993,16.72851558597207,38,271170,376725,0.12041334053880275
LVA,Latvia,428,2010,313786,2118861,14.809182858148791,68,279368,313786,0.1318481957995357
LVA,Latvia,428,2015,265418,1997674,13.286352027407876,387,307940,265418,0.15414927560753156
LVA,Latvia,428,2019,237266,1906743,12.443522803020649,725,332243,237266,0.17424634573196282
LTU,Lithuania,440,1990,349258,3696035,9.449531727919243,NA,341050,349258,0.09227455908832032
LTU,Lithuania,440,1995,273587,3626612,7.543872903966568,0,342455,273587,0.09442835351562284
LTU,Lithuania,440,2000,214311,3501839,6.119955828923032,55,348620,214311,0.09955340608177589
LTU,Lithuania,440,2005,201209,3344268,6.016533363952889,531,412612,201209,0.12337886796153896
LTU,Lithuania,440,2010,160772,3123816,5.146653964253977,803,519665,160772,0.16635582889645228
LTU,Lithuania,440,2015,136021,2931880,4.639378146445284,1175,559751,136021,0.19091879613081025
LTU,Lithuania,440,2019,117218,2759627,4.247603027510602,1863,610242,117218,0.22113205878910447
NOR,Norway,578,1990,192587,4247285,4.534355476498517,19581,138536,192587,0.03261754273612437
NOR,Norway,578,1995,233302,4366995,5.342392194174713,47607,151368,233302,0.03466182122947244
NOR,Norway,578,2000,292440,4499367,6.499580941052375,47693,164243,292440,0.03650357928126334
NOR,Norway,578,2005,361144,4632364,7.796105832788617,43034,175298,361144,0.03784201759619926
NOR,Norway,578,2010,526799,4885878,10.782074378443344,52733,181698,526799,0.037188402985092954
NOR,Norway,578,2015,746375,5199836,14.353818081954893,75705,193309,746375,0.0371759801655283
NOR,Norway,578,2019,867765,5378857,16.13288845567004,62083,205377,867765,0.03818227552805364
SWE,Sweden,752,1990,788767,8567384,9.20662596657276,109663,206848,788767,0.02414365925468031
SWE,Sweden,752,1995,936022,8836420,10.592773996709074,199212,226803,936022,0.025666842454297102
SWE,Sweden,752,2000,1003798,8881640,11.301944235524072,168020,258000,1003798,0.029048689206047532
SWE,Sweden,752,2005,1125790,9038623,12.45532643633881,90617,270865,1125790,0.029967507218743385
SWE,Sweden,752,2010,1384929,9390168,14.748713761031752,101264,304911,1384929,0.03247130402778736
SWE,Sweden,752,2015,1676264,9764950,17.166129882897504,326566,332641,1676264,0.03406479295848929
SWE,Sweden,752,2019,2005210,10036379,19.979416879334668,292479,359772,2005210,0.03584679295192021
GBR,United Kingdom,826,1990,3650286,57134391,6.388947070425586,43395,3794333,3650286,0.06641066673835729
GBR,United Kingdom,826,1995,4155293,57932453,7.172651570614488,90909,3713904,4155293,0.0641074873870782
GBR,United Kingdom,826,2000,4730165,58923309,8.027663551617577,186248,3866248,4730165,0.06561491650104036
GBR,United Kingdom,826,2005,5926156,60287954,9.829751396108085,303181,4148316,5926156,0.06880837256477472
GBR,United Kingdom,826,2010,7119664,63459808,11.219170407827267,238150,4450254,7119664,0.07012712676344687
GBR,United Kingdom,826,2015,8411569,65860145.99999999,12.771865097292679,157048,4452024,8411569,0.06759814956984761
GBR,United Kingdom,826,2019,9552110,67530172,14.144951385582136,162202,4729088,9552110,0.0700292604022984
NA,Southern Europe,925,1990,4340439,143503861,3.0246147871937743,33975,NA,4340439,NA
NA,Southern Europe,925,1995,6230116,144332501,4.316502490315747,905781,NA,6230116,NA
NA,Southern Europe,925,2000,7681653,144846711.99999997,5.3032981514968744,589293,NA,7681653,NA
NA,Southern Europe,925,2005,12004009,149676145.99999997,8.019988034699931,203939,NA,12004009,NA
NA,Southern Europe,925,2010,16206134,153015516,10.591170375166397,223940,NA,16206134,NA
NA,Southern Europe,925,2015,15815447,153064910,10.332509913604627,301408,NA,15815447,NA
NA,Southern Europe,925,2019,16503552,152446922.99999997,10.825769176069235,542138,NA,16503552,NA
ALB,Albania,8,1990,66013,3286073,2.0088719879321,3000,180284,66013,0.05486305386398902
ALB,Albania,8,1995,71354,3112936,2.292176903090844,4720,501142,71354,0.16098692681121615
ALB,Albania,8,2000,76695,3129243,2.450912249384276,528,824413,76695,0.2634544520831396
ALB,Albania,8,2005,64739,3086810,2.0972784201165604,91,966234,64739,0.3130202377211425
ALB,Albania,8,2010,52784,2948023,1.7904880660700406,99,1120305,52784,0.38001908397593914
ALB,Albania,8,2015,52031,2890513,1.8000610964212929,934,1129100,52031,0.3906227026136883
ALB,Albania,8,2019,49160,2880917,1.7064011215873278,163,1207092,49160,0.41899575725368
AND,Andorra,20,1990,38891.00000000001,54509,71.34785081362712,0,3792,38891.00000000001,0.06956649360656038
AND,Andorra,20,1995,44206,63850,69.23414252153484,0,4192,44206,0.0656538762725137
AND,Andorra,20,2000,42147,65390,64.45480960391498,0,5624,42147,0.0860070347147882
AND,Andorra,20,2005,50298,78867,63.77572368671307,0,5778,50298,0.07326258130777132
AND,Andorra,20,2010,52053,84449,61.63838529763526,0,7926,52053,0.09385546306054542
AND,Andorra,20,2015,42263.99999999999,78011,54.17697504198126,0,8723,42263.99999999999,0.11181756418966556
AND,Andorra,20,2019,45102.00000000001,77142,58.46620518005757,0,9114,45102.00000000001,0.11814575717507972
BIH,Bosnia and Herzegovina,70,1990,56000,4463423,1.2546424571455586,NA,861766,56000,0.19307289495080346
BIH,Bosnia and Herzegovina,70,1995,69476,3829050,1.8144448361865213,NA,1372534,69476,0.3584528799571695
BIH,Bosnia and Herzegovina,70,2000,82952,3751176,2.2113598508840964,38152,1496702,82952,0.39899540837326747
BIH,Bosnia and Herzegovina,70,2005,47272,3765331,1.2554540357806525,10768,1496969,47272,0.397566375970665
BIH,Bosnia and Herzegovina,70,2010,38792,3705472,1.0468841756191922,7016,1569275,38792,0.4235020531797299
BIH,Bosnia and Herzegovina,70,2015,38574,3429361,1.124815964256898,6798,1606134,38574,0.468347893383053
BIH,Bosnia and Herzegovina,70,2019,35735,3301000,1.0825507421993334,5423,1653196,35735,0.5008167222053923
HRV,Croatia,191,1990,475438,4776374,9.953952517118633,NA,425807,475438,0.08914858844805704
HRV,Croatia,191,1995,674085,4616766,14.600804979069768,198647,735556,674085,0.15932278135820616
HRV,Croatia,191,2000,585298,4428075,13.217888134234403,22437,907454,585298,0.20493193995133324
HRV,Croatia,191,2005,579273,4378058,13.231277429399062,2927,840203,579273,0.1919122588142962
HRV,Croatia,191,2010,573248,4328165,13.244596728636731,863,822331,573248,0.18999529823839895
HRV,Croatia,191,2015,561093,4232874,13.255603639513012,575,816313,561093,0.19285076758722325
HRV,Croatia,191,2019,518083,4130304,12.543459270794596,832,990168,518083,0.2397324748977315
GIB,Gibraltar,292,1990,8709,29147,29.879575942635608,0,11994,8709,0.4115003259340584
GIB,Gibraltar,292,1995,8381,28692,29.21023281751011,0,10135,8381,0.35323435103861706
GIB,Gibraltar,292,2000,8054,31077,25.916272484474046,0,8456,8054,0.27209833639025643
GIB,Gibraltar,292,2005,9211,33219,27.728107408410846,0,9667,9211,0.29100815798187785
GIB,Gibraltar,292,2010,10369,33585,30.873902039601013,0,10189,10369,0.3033794848890874
GIB,Gibraltar,292,2015,11065,33736,32.798790609437994,0,12679,11065,0.37582997391510553
GIB,Gibraltar,292,2019,11172,33701,33.1503516216136,0,14320,11172,0.42491320732322485
GRC,Greece,300,1990,618139,10225992,6.044782745771755,8488,1022459,618139,0.09998628983867776
GRC,Greece,300,1995,857850,10745503,7.983339635194369,4428,1004521,857850,0.09348292025045268
GRC,Greece,300,2000,1111665,11082104,10.031172780908753,9032,983006,1111665,0.08870210927455653
GRC,Greece,300,2005,1190707,11224791,10.60783225273415,11257,868029,1190707,0.07733141757383277
GRC,Greece,300,2010,1321149,10887637,12.134396104499075,57168,792872,1321149,0.07282314794293748
GRC,Greece,300,2015,1242924,10659750,11.659973263913319,50979,826534,1242924,0.07753784094373696
GRC,Greece,300,2019,1211382,10473455,11.566211913833593,83110,1039501,1211382,0.09925101124700493
